price_actual,total_renewable_energy
66.08,14689
73.55,16015
72.68,15367
62.71,14495
59,12213
64.08,10525
60.1,8828
57.31,8155
54.05,8267
53.94,8159
57.81,8271
63.24,9150
66.65,11118
72.56,12604
73.55,13297
77.37,14254
73.56,14406
72.07,15011
69.93,15130
67.11,14371
66.5,13727
64.9,13749
64.28,13981
68.78,14378
71.91,15599
74.28,16443
69.27,15606
63.22,14571
56.34,14714
44.42,15522
42.98,15045
40.54,15054
39.41,14983
40.37,13967
40.3,12591
49.13,12350
54,12149
62.92,13624
64.73,15226
65.73,16584
64.44,17374
64.45,17224
64.22,17378
62.22,16535
62.11,16332
62.38,16177
63.45,15866
63.49,15842
67.61,16841
70.9,17663
68.87,17151
64.08,15448
57.21,13901
48.94,13458
44.65,14070
41.27,14283
40.39,15154
39.54,16376
40.25,16645
48.08,16207
53.12,15876
60.72,17310
60.55,20135
58.71,22512
55.33,24391
54.42,25025
